,move_in_values
20190112,8.4135348
20190113,7.8772176
20190114,8.9206596
20190115,7.4268576
20190116,7.3391832
20190117,7.4218032
20190118,7.681878
20190119,8.6995296
20190120,8.2202364
20190121,8.9030664
20190122,7.7641416
20190123,7.9264656
20190124,8.3855736
20190125,8.6543964
20190126,9.2130048
20190127,8.4854952
20190128,8.5792932
20190129,7.0831584
20190130,6.945102
20190131,6.802542
20190201,6.3585648
20190202,5.401404
20190203,4.9786812
20190204,4.1137632
20190205,4.3424748
20190206,6.4775376
20190207,8.3192832
20190208,10.4750496
20190209,13.8763368
20190210,17.7748668
20190211,20.7321768
20190212,20.232828
20190213,18.609588
20190214,17.9807364
20190215,16.0716312
20190216,15.5820996
20190217,14.4410688
20190218,13.2555528
20190219,10.0953864
20190220,12.161988
20190221,15.6379248
20190222,14.2472844
20190223,15.6505932
20190224,15.1046856
20190225,12.3336108
20190226,10.3512492
20190227,11.0203416
20190228,12.2296716
20190301,10.6788132
20190302,11.7235836
20190303,10.7075844
20190304,11.5256844
20190305,9.2857104
20190306,8.1766908
20190307,7.9725708
20190308,8.6262408
20190309,9.6008652
20200101,6.7778856
20200102,5.5360908
20200103,8.8602012
20200104,10.0158768
20200105,10.5304536
20200106,9.3721212
20200107,8.5719708
20200108,9.0800352
20200109,9.545202
20200110,9.4621284
20200111,10.2300732
20200112,9.0329904
20200113,9.4111956
20200114,7.8716124
20200115,7.7112648
20200116,8.01171
20200117,7.4974572
20200118,7.8850584
20200119,7.3433952
20200120,6.8798808
20200121,7.0609644
20200122,5.8505652
20200123,4.8758112
20200124,3.7542528
20200125,2.4629508
20200126,3.257982
20200127,4.7323764
20200128,4.7399256
20200129,4.9629024
20200130,5.011308
20200131,4.6760976
20200201,3.9465144
20200202,4.496958
20200203,3.9541284
20200204,2.5772904
20200205,2.5353648
20200206,2.8904688
20200207,3.4517988
20200208,4.2993828
20200209,5.744682
20200210,4.9890168
20200211,2.966868
20200212,2.7673488
20200213,2.6249832
20200214,2.543238
20200215,2.6844048
20200216,3.0782916
20200217,3.762288
20200218,3.2412636
20200219,3.4534836
20200220,3.820122
20200221,4.045788
20200222,4.5672012
20200223,5.113368
20200224,6.460236
20200225,5.7137076
20200401,5.7682368
20200402,5.3951508
20200403,5.799276
20200404,6.8821164
20200405,6.917238
20200406,10.5872832
20200407,11.3679288
20200501,8.99424
20200502,6.0029424
20200503,7.6118616
20200504,9.8681004
20200505,9.5836932
20200625,10.32507
20200626,7.9640172
20200627,11.2323348
20210119,6.0657012
20210120,5.8852332
20210121,5.9234652
20210122,5.8495284
20210123,6.3974124
20210124,5.7627612
20210125,7.3174752
20210126,5.8099032
20210127,5.237622
20210128,4.8182364
20210129,4.673214
20210130,5.0023008
20210131,4.0074588
20210201,6.0838776
20210202,4.3876728
20210203,4.1205996
20210204,4.2565176
20210205,4.2958512
20210206,4.449168
20210207,4.2420996
20210208,3.9627468
20210209,3.4972236
20210210,3.1019112
20210211,2.8964304
20210212,2.3070096
20210213,3.691008
20210214,4.8527748
20210215,6.5286324
20210216,9.4535424
20210217,13.9917456
20210218,17.2333008
20210219,16.1393472
20210220,14.5156536
20210221,13.94334
20210222,13.372452
20210223,10.1597004
20210224,9.6382548
20210225,8.7035796
20210226,7.949016
20210227,11.6282628
20210228,14.3104644
20210301,14.3991432
20210302,10.972584
20210303,9.6434712
20210304,9.064386
20210305,8.6715036
20210306,9.5284512
20210307,8.5472172
20210308,9.5696964
20210309,7.6562496
20210310,7.524738
20210311,7.4257884
20210312,7.489098
20210313,8.81199
20210314,8.004096
20210315,9.5983704
20210316,7.1595576
20210317,6.872364
20210318,7.0556184
20210319,7.4083896
20210320,8.506458
20210321,7.71606
20210322,9.2775132
20210323,6.723648
20210324,6.2758152
20210325,6.5378016
20210326,7.2273384
20210327,8.2926828
20210328,7.7624892
20210329,9.5182776
20210330,6.866694
20210331,6.3958572
20210401,6.542694
20210402,6.9559236
20210403,9.9435276
20210404,8.2399356
20210405,14.3281548
20210406,18.3095964
20210407,10.98198
20210408,8.436312
20210409,8.0394444
20210410,8.3824632
20210411,7.5142404
20210412,8.96751
20210413,7.1867412
20210414,7.8870996
20210415,8.0389908
20210416,8.1874152
20210417,9.3810312
20210418,8.4459024
20210419,9.9392508
20210420,8.0514
20210421,7.5240576
20210422,7.5334212
20210423,7.7785272
20210424,8.5426164
20210425,7.840152
20210426,7.8395364
20210427,6.9038892
20210428,6.9215796
20210429,7.1828856
20210430,9.2042244
20210501,17.1711576
20210502,12.4455852
20210503,12.6188928
20210504,13.4100036
20210505,18.670662
20210506,15.5741616
20210507,9.4965048
20210508,8.2772604
20210509,8.413956
20210510,9.058392
20210511,7.6451688
20210512,6.9188256
20210513,7.0572384
20210514,7.4729952
20210515,8.78607
20210516,7.9859196
20210517,9.5878728
20210518,7.3132956
20210519,7.042302
20210520,7.5599244
20210521,7.8403464
20210522,8.7252228
20210523,7.7206932
20210524,9.6962508
20210525,7.0757388
20210526,6.5453508
20210527,5.8898988
20210528,5.7261168
20210529,5.641164
20210530,4.7889144
20210531,6.1351344
20210601,3.8376504
20210602,4.0541148
20210603,3.7187424
20210604,3.387258
20210605,3.3774408
20210606,2.8817208
20210607,3.695058
20210608,2.8672056
20210609,2.7493668
20210610,3.0320244
20210611,2.7794988
20210612,3.3228144
20210613,2.7964764
20210614,2.872422
20210615,5.231466
20210616,3.8778264
20210617,3.2174496
20210618,3.6128592
20210619,3.5765064
20210620,3.3682068
20210621,4.6583748
20210622,3.3236568
20210623,3.202902
20210624,3.5036388
20210625,3.95361
20210626,4.2293016
20210627,4.0797432
20210628,5.7671676
20210629,4.5210636
20210630,4.6556532
20210701,5.2723548
20210702,5.4884304
20210703,6.1936164
20210704,6.1494228
20210705,7.4370636
20210706,5.9629608
20210707,6.1146576
20210708,6.2160048
20210709,7.5597948
20210710,8.1870912
20210711,8.452188
20210712,10.6181928
20210713,7.8447528
20210714,7.4376792
20210715,7.7773932
20210716,7.9313256
20210717,8.7896988
20210718,9.1243908
20210719,10.9665576
20210720,8.5600476
20210721,7.8994764
20210722,7.8521724
20210723,7.7619384
20210724,8.4864024
20210725,7.7667984
20210726,9.2770596
20210727,6.984792
20210728,7.84161
20210729,7.3411272
20210730,7.6145832
20210731,8.434044
20210801,8.6367708
20210802,10.2014964
20210803,7.57674
20210804,6.8678604
20210805,6.8439168
20210806,6.5994264
20210807,6.9487956
20210808,6.8013432
20210809,8.4095172
20210810,6.2484696
20210811,5.9801976
20210812,6.0639192
20210813,6.2593236
20210814,7.0243848
20210815,7.1433576
20210816,9.1577304
20210817,6.4517796
20210818,5.9828544
20210819,6.097194
20210820,6.1989624
20210821,6.4940616
20210822,6.4593288
20210823,9.0303012
20210824,7.1538228
20210825,7.2211824
20210826,7.378452
20210827,7.9269192
20210828,9.4746672
20210829,9.1066032
20210830,9.7090488
20210831,7.2217332
20210901,7.6197996
20210902,7.9035912
20210903,8.6963868
20210904,10.3834872
20210905,9.0994428
20210906,9.7552512
20210907,6.9395292
20210908,6.675048
20210909,7.0144704
20210910,7.6254048
20210911,8.5334796
20210912,7.9012908
20210913,9.3693672
20210914,6.7547196
20210915,8.3989224
20210916,8.410554
20210917,7.7204664
20210918,8.8007472
20210919,10.7213868
20210920,9.8067024
20210921,12.318642
20210922,19.1984256
20210923,13.0778388
20210924,9.913752
20210925,9.2702556
20210926,8.9415252
20210927,8.6646024
20210928,8.143416
20210929,8.3198664
20210930,8.712522
20211001,16.2756864
20211002,11.2496364
20211003,12.3582996
20211004,15.409926
20211005,17.2812528
20211006,19.5556032
20211007,20.844054
20211008,16.0703676
20211009,10.1568168
20211010,9.2889828
20211011,10.7592624
20211012,8.66052
20211013,7.4195352
20211014,8.733582
20211015,9.8185284
20211016,10.8422064
20211017,10.0417644
20211018,11.7421488
20211019,8.4455784
20211020,8.218908
20211021,8.7279768
20211022,9.178758
20211023,10.1889576
20211024,9.529326
20211025,11.4014952
20211026,8.6996268
20211027,8.2514052
20211028,8.6214132
20211029,9.2122596
20211030,10.3473612
20211031,10.0824264
20211101,11.7676152
20211102,8.2617408
20211103,8.6688144
20211104,9.1094544
20211105,9.7037352
20211106,10.7784756
20211107,10.4243112
20211108,12.1420296
20211109,8.6984604
20211110,8.3863512
20211111,8.885214
20211112,9.331038
20211113,10.8623268
20211114,10.7816184
20211115,13.0166028
20211116,9.5155884
20211117,8.9393868
20211118,9.4843548
20211119,9.9626112
20211120,11.3617404
20211121,11.0801196
20211122,12.6951624
20211123,8.881812
20211124,8.6031072
20211125,9.3715056
20211126,9.9983484
20211127,11.6154648
20211128,11.1502656
20211129,12.9543948
20211130,9.1441548
20211201,9.1265292
20211202,9.2554164
20211203,9.3122784
20211204,10.595124
20211205,9.673992
20211206,11.7060876
20211207,8.0753112
20211208,7.7665716
20211209,8.5366548
20211210,8.85492
20211211,9.637866
20211212,9.7300116
20211213,11.7922392
20211214,8.1073548
20211215,7.8114456
20211216,8.0604072
20211217,7.782318
20211218,7.8008508
20211219,7.5727548
20211220,10.1165436
20211221,6.9247872
20211222,7.2138276
20211223,7.92666
20211224,8.118954
20211225,7.5439512
20211226,7.8937416
20211227,9.6986484
20211228,7.3208124
20211229,7.1780904
20211230,8.170146
20211231,9.872928
20220101,12.3593688
20220102,10.036386
20220103,12.69027
20220104,13.125888
20220105,8.5314384
20220106,8.103888
20220107,8.1365148
20220108,9.6501132
20220109,7.8833412
20220110,9.6985512
20220111,8.484426
20220112,7.9461972
20220113,8.38593
20220114,8.7238296
20220115,8.7386688
20220116,7.9990416
20220117,9.5148108
20220118,7.0599924
20220119,6.8620284
20220120,7.6664556
20220121,7.3199376
20220122,7.9952184
20220123,7.1388864
20220124,8.4306096
20220125,6.7989132
20220126,6.6938076
20220127,6.7562748
20220128,6.1358148
20220129,5.4477036
20220130,4.6271088
20220131,3.782862
20220201,2.8658772
20220202,5.0289012
20220203,6.5244852
20220204,9.8849484
20220205,14.624712
20220206,21.0175884
20220207,22.0897044
20220208,20.9806524
20220209,17.70417
20220210,17.1020484
20220211,15.2378172
20220212,14.208372
20220213,13.305546
20220214,13.654656
20220215,9.7681788
20220216,12.7960884
20220217,14.6907108
20220218,13.7893752
20220219,14.7140712
20220220,12.4009704
20220221,12.6462384
20220222,9.4558104
20220223,9.2511396
20220224,10.1828016
20220225,10.7351568
20220226,11.82114
20220227,11.05569
20220228,11.0113344
20220301,10.3447044
20220302,8.1894564
20220303,9.7011108
20220304,9.7139736
20220305,9.5713488
20220306,9.3683952
20220307,11.5393248
20220308,8.6601312
20220309,8.3617596
20220310,8.6359608
20220311,8.5587516
20220312,7.7767776
20220313,7.9391988
20220314,10.1459628
20220315,6.8919336
20220316,6.1342596
20220317,5.9608548
20220318,5.6522448
20220319,4.8618792
20220320,4.9376628
20220321,8.314488
20220322,5.8272372
20220323,5.5763316
20220324,6.1249932
20220325,5.5115316
20220326,6.5736036
20220327,6.1748892
20220328,8.4435696
20220329,5.4696384
20220330,6.156648
20220331,5.7516804
20220401,5.5843344
20220402,5.897286
20220403,7.5212064
20220404,6.484698
20220405,8.5150116
20220406,16.1396064
20220407,10.4452092
20220408,8.5541832
20220409,7.1871948
20220410,5.56956
20220411,6.3371808
20220412,4.2736896
20220413,3.5979876
20220414,4.0534992
20220415,4.0084632
20220416,3.829194
20220417,3.5749836
20220418,5.5514808
20220419,4.0931244
20220420,4.3200216
20220421,5.1272352
20220422,5.19777
20220423,5.8467744
20220424,7.1318232
20220425,7.6241736
20220426,6.779862
20220427,7.3085328
20220428,7.1629272
20220429,7.2743508
20220430,7.6437756
20220501,6.3549684
20220502,7.3130688
20220503,10.6822476
20220504,15.4692504
20220505,12.7291176
20220506,7.624368
20220507,7.3154664
20220508,6.9105636
20220509,8.9234784
20220510,7.0462872
20220511,6.3319968
20220512,6.6545388
20220513,7.4825856
20220514,7.9395876
20220515,7.8154632
20220516,10.5112404
20220517,7.7770368
20220518,7.598124
20220519,8.38107
20220520,9.015138
20220521,8.0175096
20220522,8.8864128
20220523,11.1025404
20220524,8.1559872
20220525,7.9522884
20220526,8.7856488
20220527,8.953416
20220528,9.4009896
20220529,9.0749484
20220530,11.0745468
20220531,8.37702
20220601,8.3150064
20220602,10.5626592
20220603,13.9536108
20220604,11.96289
20220605,18.7949484
20220606,18.7483572
20220607,10.8409752
20220608,9.2502972
20220609,9.30042
20220610,10.0150668
20220611,10.5325272
20220612,9.9766404
20220613,12.5301816
20220614,9.3144168
20220615,9.232218
20220616,9.9386352
20220617,10.3248432
20220618,10.9561896
20220619,10.5435432
20220620,12.9940524
20220621,9.4772268
20220622,9.3135096
20220623,10.1863656
20220624,10.458234
20220625,10.9375272
20220626,10.7200908
20220627,13.0015692
20220628,9.951984
20220629,9.8300304
20220630,10.8725004
20220701,11.582838
20220702,11.5758072
20220703,11.1044844
20220704,13.8836916
20220705,9.7836336
20220706,11.7329148
20220707,12.2155776
20220708,12.9664476
20220709,13.2937524
20220710,12.913668
20220711,14.5397268
20220712,10.5150636
20220713,9.7287804
20220714,10.1263932
20220715,10.3389048
20220716,10.7756568
20220717,11.05083
20220718,13.2069204
20220719,10.142496
20220720,9.8654436
20220721,10.3533228
20220722,10.5812892
20220723,11.3556816
20220724,11.7797328
20220725,14.2204248
20220726,10.8622944
20220727,10.381284
20220728,10.8459324
20220729,10.9854792
20220730,11.9211912
20220731,12.9469428
20220801,15.0430932
20220802,11.367378
20220803,11.0095848
20220804,11.3821848
20220805,11.6049996
20220806,12.9735108
20220807,13.0652028
20220808,15.0037596
20220809,11.4527196
20220810,10.5948648
20220811,10.6964712
20220812,11.2276692
20220813,13.3447824
20220814,14.004414
20220815,16.2492156
20220816,12.400614
20220817,11.4826572
20220818,11.7775944
20220819,11.9580948
20220820,13.1729652
20220821,13.4036532
20220822,15.2062596
20220823,11.5573068
20220824,11.1320568
20220825,10.4359752
20220826,12.362544
20220827,14.570442
20220828,14.0566104
20220829,14.2726536
20220830,11.0329128
20220831,10.3376412
20220901,10.880406
20220902,10.5986556
20220903,10.6536708
20220904,9.1931112
20220905,10.9904364
20220906,8.1472392
20220907,7.7326164
20220908,8.4604176
20220909,9.6874056
20220910,11.66805
20220911,11.9488284
20220912,20.040696
20220913,18.1722852
20220914,11.3800464
20220915,10.1142108
20220916,10.8435672
20220917,10.6849368
20220918,9.9847728
20220919,12.0687732
20220920,9.396486
20220921,8.9361144
20220922,9.7443324
20220923,9.8776584
20220924,10.0598112
20220925,9.7760196
20220926,11.9302632
20220927,8.957466
20220928,8.7378588
20220929,9.6910668
20220930,12.1629924
20221001,18.1183392
20221002,11.3204628
20221003,13.0412592
20221004,16.7149332
20221005,19.9783908
20221006,22.5136908
20221007,22.1602392
20221008,16.9185996
20221009,11.3550336
20221010,10.148004
20221011,9.8304192
20221012,9.0018864
20221013,8.5991544
20221014,9.3207996
20221015,8.9396136
20221016,8.3553768
20221017,10.7064828
20221018,7.9692984
20221019,7.3967256
20221020,8.133372
20221021,8.2183248
20221022,8.1612036
20221023,7.8391476
20221024,10.1542896
20221025,7.217748
20221026,6.8066244
20221027,7.150842
20221028,6.7885128
20221029,6.3980604
20221030,6.105132
20221031,8.2607688
20221101,5.7568644
20221102,5.385204
20221103,5.7079404
20221104,5.6678616
20221105,5.2736832
20221106,4.7811384
20221107,6.5952144
20221108,4.5678168
20221109,4.0437144
20221110,4.206978
20221111,3.8723832
20221112,3.551364
20221113,3.4678692
20221114,5.3689392
20221115,4.2594336
20221116,4.18122
20221117,5.0555664
20221118,5.007096
20221119,4.7390508
20221120,4.7247948
20221121,6.3603468
20221122,4.16826
20221123,3.9807612
20221124,4.1576976
20221125,3.87909
20221126,3.4231572
20221127,3.151548
20221128,4.7456928
20221129,3.9013488
20221130,3.7850652
20221201,5.893722
20221202,5.7319812
20221203,5.553198
20221204,5.6662416
20221205,7.9710804
20221206,5.6655288
20221207,5.5379376
20221208,6.2318484
20221209,6.3878868
20221210,6.7975524
20221211,7.029504
20221212,9.1937916
20221213,6.5532564
20221214,5.9415768
20221215,6.1126164
20221216,5.7972996
20221217,5.3036532
20221218,4.823226
20221219,5.9826924
20221220,4.8168756
20221221,4.544424
20221222,4.7283264
20221223,4.9822776
20221224,4.8877992
20221225,4.9509144
20221226,6.7101372
20221227,5.7000024
20221228,5.9072976
20221229,6.4741032
20221230,7.0706196
20221231,8.3808108
20230101,8.4660876
20230102,10.047402
20230103,11.0073816
20230104,7.8823368
20230105,7.838856
20230106,8.7055236
20230107,8.8377156
20230108,8.7286896
20230109,10.1515032
20230110,8.2577232
20230111,8.30088
20230112,8.731638
20230113,8.7327396
20230114,9.1662516
20230115,8.5071384
20230116,8.8434504
20230117,7.1382708
20230118,6.8427504
20230119,6.586434
20230120,5.5704672
20230121,4.4718156
20230122,4.9370148
20230123,7.9285716
20230124,9.9343908
20230125,13.2480684
20230126,18.8308152
20230127,23.2279488
20230128,23.9442156
20230129,23.8330188
20230130,21.94452
20230131,20.3710788
20230201,19.356084
20230202,16.8019596
20230203,16.2697896
20230204,15.0069672
20230205,12.9237444
20230206,18.4112352
20230207,17.564364
20230208,15.1492356
20230209,15.6288852
20230210,14.3127648
20230211,15.8443776
20230212,15.0114708
20230213,16.1611524
20230214,12.3982488
20230215,12.4374204
20230216,13.0344552
20230217,14.6829348
20230218,18.8087508
20230219,16.7681016
20230220,15.7321116
20230221,11.7594504
20230222,12.0559752
20230223,12.7674144
20230224,13.3898508
20230225,15.7115052
20230226,14.662782
20230227,15.3863712
20230228,11.6891424
20230301,11.6269992
20230302,12.3980544
20230303,13.2291792
20230304,14.9105448
20230305,13.9921668
20230306,15.2324064
20230307,10.9884276
20230308,10.7889408
20230309,11.710008
20230310,12.7278864
20230311,14.9829912
20230312,14.1011928
20230313,15.64839
20230314,11.2754268
20230315,10.9512972
20230316,11.7994968
20230317,12.907836
20230318,15.1762248
20230319,14.8490172
20230320,16.2313956
20230321,11.3444388
20230322,10.7630208
20230323,11.265156
20230324,11.440278
20230325,11.8610244
20230326,12.0460608
20230327,15.3262692
20230328,11.8612512
20230329,10.1916468
